PlayerCard1,PlayerCard2,FlopCard1,FlopCard2,FlopCard3,EquityPercent
9d.png,6h.png,8c.png,7s.png,Qh.png,26.07
5d.png,Ah.png,7c.png,Kd.png,As.png,47.27
Th.png,6s.png,6h.png,9c.png,9d.png,18.53
3d.png,6c.png,3c.png,2h.png,Tc.png,19.6
Jd.png,2d.png,Tc.png,Th.png,6d.png,6.63
Jh.png,Jd.png,Tc.png,5d.png,Jc.png,75.2
5h.png,7h.png,Js.png,4h.png,2s.png,11.8
Tc.png,Qd.png,Td.png,Ks.png,6s.png,26.8
5s.png,Td.png,3d.png,Ad.png,Tc.png,26.17
Qd.png,8h.png,Kh.png,Ts.png,4c.png,5.77
Ts.png,9s.png,Ac.png,7d.png,6h.png,16.8
7c.png,6h.png,4c.png,6c.png,As.png,18.57
2d.png,4h.png,Jh.png,6c.png,7h.png,2.8
4s.png,9h.png,3s.png,6h.png,5d.png,20.3
5d.png,9h.png,Qh.png,4s.png,5c.png,16.87
Jc.png,Qs.png,5c.png,9s.png,9c.png,14.73
9c.png,Qc.png,Kd.png,3c.png,Qd.png,30.47
9h.png,Th.png,Qh.png,Kd.png,Tc.png,20.15
2h.png,6c.png,Ac.png,Th.png,5c.png,4.5
Ad.png,Ks.png,Jc.png,Jd.png,2s.png,16.6
3d.png,Ts.png,2h.png,6c.png,9s.png,7.1
4h.png,5h.png,Ks.png,Qc.png,8c.png,2.1
8c.png,Ad.png,Kh.png,7d.png,5d.png,11.1
Qc.png,2s.png,Ts.png,As.png,4h.png,4.5
4h.png,As.png,Qh.png,6h.png,Jh.png,8.8
2d.png,3d.png,3s.png,Kc.png,6h.png,14
3h.png,Kc.png,Ks.png,2h.png,4s.png,35.72
2d.png,4h.png,2h.png,3d.png,3c.png,9.3
Tc.png,Jh.png,Ah.png,3s.png,4h.png,10.07
Qh.png,9c.png,Ac.png,Ts.png,Kh.png,12.92
9s.png,Qh.png,7d.png,Kh.png,4c.png,5.7
3h.png,Ac.png,Ad.png,7s.png,3d.png,62.17
Tc.png,Jc.png,Kh.png,6h.png,8c.png,14
3c.png,4d.png,Jc.png,Ah.png,3d.png,15.17
Ac.png,Th.png,9d.png,5c.png,Kd.png,10.8
Kh.png,3d.png,7c.png,5s.png,4h.png,7.93
8h.png,3h.png,4c.png,Ac.png,Tc.png,1.8
Jh.png,3h.png,5c.png,8c.png,9h.png,6.93
4c.png,Qc.png,8s.png,Kc.png,5h.png,5.87
6s.png,Qd.png,3c.png,Jh.png,2d.png,5
Ac.png,9d.png,7h.png,2s.png,7c.png,11.25
6d.png,Ts.png,5h.png,3h.png,9c.png,6.27
Jh.png,Ah.png,Kh.png,9c.png,Qs.png,24.1
5d.png,3s.png,7c.png,Qs.png,6h.png,13.43
Jd.png,3c.png,Jh.png,Qd.png,7s.png,25.97
Qd.png,Jd.png,5d.png,3d.png,9h.png,39.9
Ks.png,Jh.png,Ah.png,5d.png,Qs.png,19.5
3d.png,8d.png,8s.png,Kh.png,9c.png,16.47
Td.png,6d.png,6h.png,8d.png,Th.png,46.2
Ad.png,Qs.png,6h.png,Jh.png,8c.png,15
Kh.png,Ks.png,2c.png,Ac.png,Jc.png,18.1
Ah.png,8d.png,4c.png,7d.png,Th.png,9.33
Tc.png,8s.png,8h.png,7d.png,Js.png,27.33
Qs.png,As.png,5s.png,6h.png,Kd.png,15.7
4d.png,6c.png,Tc.png,Th.png,2h.png,3.7
8d.png,8c.png,9s.png,3d.png,3c.png,15
3c.png,7s.png,7c.png,4d.png,3s.png,42.9
9d.png,8h.png,2h.png,Ts.png,7c.png,26.53
6d.png,6h.png,Tc.png,Ah.png,Td.png,13.53
4c.png,Kc.png,7s.png,Qh.png,8s.png,4.5
9s.png,Ks.png,Jd.png,As.png,Td.png,14.13
2s.png,8h.png,6d.png,7s.png,Jh.png,6.2
9s.png,2h.png,Th.png,Qd.png,9h.png,10.17
3h.png,Ks.png,Kd.png,9d.png,8c.png,28.93
5h.png,Ks.png,2s.png,Qc.png,8h.png,6.9
Kh.png,Jd.png,7h.png,Tc.png,9c.png,26.15
Ad.png,Td.png,7h.png,Jc.png,8d.png,18.8
2s.png,Jh.png,Qs.png,2c.png,8c.png,12.27
6c.png,5d.png,3d.png,4s.png,7h.png,79.43
Jh.png,7d.png,3s.png,Ah.png,Ac.png,6.17
